,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
4293,Z. Buyinza,Saintu,MF,Coy Sunbirds,31,1989,30.37,0.1,1.19,0.32,25.73,1.06,0.34,0.09,0.51,17.62,0.04,-0.01,0.05,0.1,0.07,0.05,-0.07,-0.05,D,2021
4294,S. Moradi,Sobianitedrucy,MF,Coy Sunbirds,32,1988,1.64,0.02,-0.1,-0.06,,0.03,0.06,,,,0.09,-0.04,-0.1,-0.05,0.01,,-0.09,0.01,D,2021
4295,K. bin Abu Bakar,Sobianitedrucy,MFDF,Coy Sunbirds,25,1995,13.12,0.02,0.8,0.32,27.35,0.89,0.14,-0.02,-0.06,18.98,0.06,-0.08,-0.07,-0.01,0.03,0.15,0.03,-0.12,D,2021
4296,B. Namazzi,Ledian,MFFW,Coy Sunbirds,33,1987,25.8,0.19,2.18,0.61,26.72,2.2,0.67,-0.03,0.22,20.31,0.07,0.22,0.19,0.27,0.07,0.12,0.06,-0.1,D,2021
4297,X. Boyko,Coastpa Barleslands,DF,Fighting Clippers,29,1991,24.52,-0.02,0.42,0.0,10.01,0.5,-0.02,-0.06,-0.08,11.35,-0.08,-0.01,-0.06,0.01,-0.02,0.1,-0.07,0.03,D,2021
4298,Z. Chavula,Greri Landmoslands,DF,Fighting Clippers,29,1991,18.58,-0.05,1.1,0.06,10.49,0.93,0.09,0.05,-0.08,22.78,0.11,0.04,-0.04,0.03,0.13,-0.03,0.04,-0.02,D,2021
4299,B. Colin,Loco Phirema,DF,Fighting Clippers,26,1994,12.26,0.17,0.39,0.16,39.93,0.47,0.24,0.13,0.41,8.67,0.02,-0.07,-0.01,-0.03,0.11,0.09,0.03,-0.01,D,2021
4300,X. Williams,Moaithe,DF,Fighting Clippers,26,1994,19.58,-0.02,0.39,-0.03,0.0,0.45,-0.04,0.06,,25.04,-0.05,0.01,0.07,-0.07,0.0,0.09,0.02,-0.09,D,2021
4301,H. Zare,Rarita,DF,Fighting Clippers,29,1991,25.44,-0.03,0.35,0.22,37.52,0.29,0.04,0.07,-0.09,11.04,0.08,0.03,-0.03,0.09,0.02,0.16,0.01,-0.02,D,2021
4302,I. Gashi,Rosvi,DF,Fighting Clippers,28,1991,13.37,0.02,0.27,0.04,20.07,0.45,0.0,-0.05,-0.03,7.64,0.08,-0.08,-0.05,-0.05,-0.05,0.12,-0.05,-0.1,D,2021
4303,M. Ayebazibwe,Sobianitedrucy,DF,Fighting Clippers,26,1993,35.91,0.16,0.84,0.37,38.71,0.9,0.34,0.17,0.27,11.99,-0.03,-0.06,0.05,0.09,0.05,0.09,0.01,0.02,D,2021
4304,L. Schubert,Pierrema,DFFW,Fighting Clippers,29,1991,3.15,-0.09,1.03,0.03,-0.01,1.0,-0.01,0.05,,26.22,0.7,-0.05,-0.04,-0.06,0.04,0.08,-0.01,0.04,D,2021
4305,H. Kirabira,Newgan Ruland,FW,Fighting Clippers,25,1995,21.88,0.41,2.67,1.29,45.72,2.61,1.3,0.23,0.46,15.17,-0.05,0.1,0.01,0.44,0.44,0.12,0.24,0.07,D,2021
4306,K. Sekh,Republic of Denand Landsa,FW,Fighting Clippers,21,1998,17.43,0.61,3.65,1.57,40.52,3.63,1.52,0.09,0.34,13.64,-0.06,0.08,0.04,0.63,0.54,0.08,0.04,-0.01,D,2021
4307,A. Schumacher,Sobianitedrucy,FW,Fighting Clippers,17,2002,0.18,-0.07,-0.01,-0.05,,0.01,-0.05,,,,-0.06,-0.01,0.03,0.04,0.0,,-0.08,0.0,D,2021
4308,F. Akwero,Sobianitedrucy,FW,Fighting Clippers,26,1993,21.27,0.46,2.91,0.87,32.39,2.99,0.95,0.11,0.37,18.71,-0.03,-0.04,-0.04,0.17,0.16,0.09,0.24,0.23,D,2021
4309,R. Nkosi,Sobianitedrucy,FW,Fighting Clippers,29,1991,31.86,0.63,4.38,1.16,29.35,4.17,1.33,0.05,0.34,21.16,0.4,0.31,0.29,0.47,0.25,0.08,0.06,0.15,D,2021
4310,Z. Nakayama,Sobianitedrucy,FW,Fighting Clippers,25,1995,10.77,0.43,2.45,0.97,42.31,2.48,1.12,0.06,0.43,10.12,0.03,0.01,0.04,0.3,0.4,0.08,0.03,0.05,D,2021
4311,J. Saidu,Nganion,FWMF,Fighting Clippers,35,1985,0.67,0.01,3.39,-0.1,-0.05,3.41,-0.06,0.05,,8.1,0.0,-0.03,0.07,0.25,0.24,0.03,-0.21,-0.18,D,2021
4312,K. Clark,Southern Ristan,FWMF,Fighting Clippers,33,1987,16.16,0.54,3.38,1.15,36.44,3.47,1.33,0.22,0.35,17.53,0.4,-0.02,-0.09,0.27,0.31,0.02,0.23,0.2,D,2021
4313,N. Busingye,Sobianitedrucy,GK,Fighting Clippers,23,1997,22.05,0.03,0.06,-0.03,,0.06,0.01,,,,0.06,-0.06,0.04,0.09,0.02,,-0.09,-0.07,D,2021
4314,R. Owere,Western Niasland,GK,Fighting Clippers,31,1988,15.93,-0.01,0.01,0.06,,-0.04,0.0,,,,0.01,0.01,0.05,0.09,0.0,,-0.01,-0.06,D,2021
4315,I. Brown,Dosqaly,MF,Fighting Clippers,25,1994,21.86,0.11,0.81,0.18,24.95,0.78,0.26,0.21,0.43,16.83,0.05,0.08,0.0,0.04,0.0,0.03,-0.04,0.07,D,2021
4316,A. Mucunguzi,Esia,MF,Fighting Clippers,28,1991,17.8,0.11,0.83,0.19,35.66,0.76,0.24,0.08,0.4,15.59,0.0,-0.04,0.06,0.02,0.03,0.17,0.0,0.08,D,2021
4317,M. Delgado,Ledian,MF,Fighting Clippers,25,1994,1.66,0.01,0.03,0.04,,0.0,-0.03,,,,0.06,-0.09,-0.04,0.08,0.04,,-0.07,-0.06,D,2021
4318,C. Muhammadu,Nganion,MF,Fighting Clippers,24,1996,28.44,0.08,1.55,0.43,34.8,1.59,0.57,0.09,0.17,21.37,0.02,0.05,0.03,0.01,0.05,0.07,-0.09,0.09,D,2021
4319,Q. Liang,Nkasland Cronestan,MF,Fighting Clippers,26,1994,27.92,0.19,2.24,0.88,41.07,2.08,0.79,0.15,0.29,18.36,-0.01,-0.05,0.04,0.15,0.2,0.15,0.04,0.19,D,2021
4320,E. Poto?nik,Biarizea,MFFW,Fighting Clippers,29,1991,0.34,-0.03,-0.1,-0.07,,-0.08,0.04,,,,0.04,0.07,0.06,0.07,-0.08,,-0.05,-0.03,D,2021
4321,Z. Banda,Eastern Niasland,MFFW,Fighting Clippers,20,1999,8.27,0.3,1.58,0.7,46.11,1.51,0.69,0.11,0.42,16.41,0.01,0.07,0.05,0.31,0.23,0.13,-0.03,-0.02,D,2021
4322,W. Joao,Byasier Pujan,DF,Fighting Wave,20,1999,24.62,0.08,0.84,0.2,31.65,0.85,0.21,0.14,0.08,11.38,-0.06,-0.08,-0.07,0.08,-0.05,0.11,0.05,-0.05,D,2021
4323,N. Cudjoe,Cabral Retrea,DF,Fighting Wave,18,2002,0.05,-0.07,-0.05,0.06,,-0.04,0.09,,,,-0.07,-0.07,-0.01,-0.04,-0.04,,0.0,-0.05,D,2021
4324,L. Achen,Lefghau,DF,Fighting Wave,29,1991,20.59,0.15,0.77,0.06,21.4,0.63,0.12,0.19,0.72,13.62,0.01,-0.04,0.06,0.09,0.03,0.0,0.0,0.09,D,2021
4325,Z. Krajnc,Lefghau,DF,Fighting Wave,29,1991,32.33,0.06,0.62,0.04,11.03,0.5,0.05,0.14,0.5,21.23,-0.01,-0.09,-0.09,0.03,0.1,0.15,0.0,-0.01,D,2021
4326,L. Yulianti,Sobianitedrucy,DF,Fighting Wave,33,1987,22.49,0.01,0.74,0.11,18.76,0.66,0.04,0.15,0.71,12.85,0.1,-0.07,-0.01,0.1,0.22,0.16,-0.02,0.05,D,2021
4327,O. Gamal,Sobianitedrucy,DF,Fighting Wave,21,1999,7.76,0.01,0.44,0.34,49.97,0.54,0.23,0.0,-0.08,17.09,0.04,-0.03,-0.03,0.04,0.09,0.12,0.05,0.01,D,2021
4328,R. Bogere,Sobianitedrucy,DF,Fighting Wave,35,1984,15.3,-0.04,0.34,-0.02,-0.01,0.45,-0.06,-0.06,,10.78,-0.01,-0.08,-0.08,-0.01,-0.01,0.15,-0.07,-0.07,D,2021
4329,S. Nayiga,Sobianitedrucy,DF,Fighting Wave,27,1992,0.33,0.0,3.24,0.02,-0.01,3.78,-0.08,0.09,,20.0,0.0,0.09,-0.09,-0.04,-0.02,0.04,-0.08,-0.09,D,2021
4330,A. Ansah,Varijitri Isles,DF,Fighting Wave,22,1998,10.44,0.01,0.7,0.11,28.68,0.7,0.13,0.01,0.03,10.28,-0.09,0.04,0.01,0.1,-0.03,0.16,-0.12,-0.09,D,2021
4331,Y. Smit,Sobianitedrucy,DFMF,Fighting Wave,26,1994,10.73,-0.08,1.14,0.62,46.2,1.15,0.49,0.1,-0.08,17.48,0.01,-0.06,0.07,0.2,0.05,0.14,-0.15,-0.15,D,2021
4332,V. Rocha,Western Niasland,DFMF,Fighting Wave,32,1988,24.19,0.11,0.65,0.17,33.31,0.64,0.15,0.06,0.14,17.72,0.04,-0.03,0.11,0.13,0.0,0.15,0.09,0.08,D,2021
4333,L. De Wit,Greri Landmoslands,FW,Fighting Wave,35,1985,31.19,0.95,5.12,1.98,37.02,5.24,1.85,0.21,0.32,17.61,0.55,0.12,0.16,0.82,0.75,0.22,0.08,0.1,D,2021
4334,G. González,Imaar Vircoand,FW,Fighting Wave,26,1993,12.57,0.31,4.11,1.22,28.89,4.21,1.28,0.08,0.37,18.77,0.4,0.09,0.04,0.43,0.42,0.08,-0.14,-0.07,D,2021
4335,G. Owusu,Nganion,FW,Fighting Wave,27,1992,22.44,0.51,2.36,0.99,42.62,2.39,0.99,0.23,0.42,11.3,-0.02,0.09,-0.01,0.42,0.36,0.23,-0.08,0.07,D,2021
4336,E. Kiyingi,Sobianitedrucy,FWMF,Fighting Wave,20,2000,0.83,0.06,6.17,2.56,39.93,6.39,2.58,0.01,0.07,20.43,1.34,-0.01,0.1,0.82,0.78,0.11,-0.66,-0.73,D,2021
4337,J. Vásquez,Nkasland Cronestan,GK,Fighting Wave,30,1990,29.61,0.0,-0.01,0.05,,0.06,0.08,,,,-0.08,-0.07,0.0,0.07,-0.09,,-0.02,0.05,D,2021
4338,A. Amongin,Sobianitedrucy,GK,Fighting Wave,30,1990,0.33,-0.08,0.03,0.02,,0.04,-0.06,,,,-0.04,-0.02,0.04,-0.04,0.06,,-0.07,-0.08,D,2021
4339,N. Tkachuk,Sobianitedrucy,GK,Fighting Wave,42,1978,8.05,0.07,-0.04,-0.08,,-0.05,0.0,,,,0.05,0.02,0.05,-0.02,0.01,,0.04,0.05,D,2021
4340,K. Mohammadzadeh,Djipines,MF,Fighting Wave,29,1990,12.17,0.11,1.89,0.84,43.57,1.92,0.83,0.1,0.13,13.85,0.08,-0.07,0.02,0.34,0.43,0.3,-0.2,-0.24,D,2021
4341,O. Maulana,Dosqaly,MF,Fighting Wave,25,1995,25.69,0.26,1.27,0.43,35.27,1.39,0.54,0.08,0.41,16.22,-0.07,0.03,0.04,0.08,0.06,-0.01,0.01,0.05,D,2021
4342,N. Garza,Greri Landmoslands,MF,Fighting Wave,19,2001,0.0,-0.05,0.1,-0.07,,-0.09,-0.06,,,,-0.09,0.0,-0.07,0.03,0.03,,0.02,0.03,D,2021
4343,A. Kalule,Janmico,MF,Fighting Wave,23,1997,25.82,-0.02,0.52,0.16,33.39,0.5,0.27,-0.07,-0.06,22.91,-0.04,-0.09,0.02,-0.05,0.12,-0.02,0.02,-0.12,D,2021
4344,M. Opoku,Lefghau,MF,Fighting Wave,23,1996,12.99,0.08,0.29,0.13,33.23,0.2,0.15,0.3,1.05,23.07,0.09,-0.09,0.01,0.11,-0.03,-0.03,0.02,0.03,D,2021
4345,F. O'Reilly,Moaithe,MF,Fighting Wave,21,1998,0.04,-0.07,0.03,0.02,,0.06,0.08,,,,0.09,0.06,-0.03,0.09,-0.02,,-0.01,-0.1,D,2021
4346,K. Ntege,Slandsganiamayotteque,MF,Fighting Wave,21,1998,18.97,0.23,1.54,0.69,48.24,1.53,0.8,0.11,0.32,10.12,0.0,0.02,-0.05,0.15,0.17,0.13,0.1,0.14,D,2021
4347,P. Bonnet,Sobianitedrucy,MF,Fighting Wave,19,2001,0.22,0.09,-0.06,0.07,,-0.05,-0.02,,,,-0.04,0.05,0.09,-0.06,-0.08,,0.05,0.09,D,2021
4348,P. Mlotshwa,Sobianitedrucy,MFDF,Fighting Wave,22,1997,24.53,0.35,2.41,1.12,41.62,2.48,0.99,0.16,0.28,17.76,-0.04,0.02,0.03,0.26,0.17,0.16,0.17,0.09,D,2021
4349,W. Katamba,Sobianitedrucy,MFDF,Fighting Wave,21,1999,0.12,0.08,-0.06,0.04,,0.07,0.02,,,,0.08,-0.06,0.05,0.06,0.05,,0.04,0.01,D,2021
4350,H. Kelmendi,Lefghau,MFFW,Fighting Wave,29,1990,0.56,-0.04,0.04,-0.06,,-0.03,0.08,,,,-0.01,0.01,-0.1,0.02,-0.07,,-0.01,-0.05,D,2021
4351,U. Taaka,Xikong,MFFW,Fighting Wave,20,2000,21.48,0.18,1.55,0.42,20.58,1.64,0.24,0.22,0.67,15.05,-0.04,-0.07,-0.02,0.16,0.21,0.06,0.03,0.06,D,2021
4352,E. Mugoya,Byasier Pujan,DF,Flying Bombadiers,27,1993,1.31,0.06,-0.04,0.07,,-0.04,0.05,,,,0.08,-0.01,0.06,0.05,-0.06,,0.01,0.07,D,2021
4353,H. Bhebhe,Byasier Pujan,DF,Flying Bombadiers,27,1993,16.55,0.03,0.1,-0.02,0.08,0.03,-0.09,0.01,,14.46,-0.03,0.08,-0.02,-0.05,-0.01,0.01,0.01,0.07,D,2021
4354,W. Namukose,Coastpa Barleslands,DF,Flying Bombadiers,25,1994,4.8,0.21,0.12,0.17,99.99,0.19,0.23,1.09,1.01,1.96,0.05,-0.06,-0.06,0.1,0.16,0.55,0.16,0.13,D,2021
4355,G. Matsika,Deshslands Landdenhai,DF,Flying Bombadiers,19,2000,2.61,-0.01,0.32,0.06,0.06,0.46,-0.07,0.04,,29.89,0.1,0.02,0.0,-0.04,0.04,0.0,0.02,-0.09,D,2021
4356,W. Aciro,Dosqaly,DF,Flying Bombadiers,28,1992,19.57,0.07,0.28,0.08,28.57,0.4,0.03,0.24,0.52,7.45,-0.01,-0.04,-0.02,-0.01,0.15,0.23,-0.02,-0.08,D,2021
4357,G. Ribeiro,Imaar Vircoand,DF,Flying Bombadiers,27,1993,4.03,0.25,0.45,0.27,49.94,0.43,0.34,0.49,1.07,4.98,-0.01,0.09,-0.01,0.21,0.07,0.15,0.09,0.06,D,2021
4358,N. Mushabe,Lefghau,DF,Flying Bombadiers,36,1984,34.78,-0.04,0.38,-0.04,14.35,0.48,0.0,0.04,0.08,13.32,-0.09,0.09,0.02,-0.07,-0.05,0.11,0.07,0.05,D,2021
4359,B. Angella,Lylimi,DF,Flying Bombadiers,21,1998,30.26,0.1,0.58,0.1,24.98,0.54,0.19,0.16,0.48,15.2,0.07,0.05,0.07,0.14,0.1,0.15,-0.05,0.03,D,2021
4360,M. Wu,Ngoque Blicri,DF,Flying Bombadiers,18,2002,8.47,0.08,0.41,0.16,33.2,0.43,0.04,-0.08,0.02,28.06,0.16,0.1,-0.04,0.0,0.02,0.11,0.0,0.05,D,2021
4361,E. Bošnjak,Northslands,DF,Flying Bombadiers,18,2001,0.44,-0.01,1.92,1.98,100.03,1.86,1.91,-0.05,-0.09,22.77,0.08,-0.04,0.03,0.03,0.1,0.08,-0.09,-0.09,D,2021
4362,G. Neumbe,Sobianitedrucy,DF,Flying Bombadiers,32,1988,23.78,-0.02,0.41,0.22,58.39,0.56,0.28,0.21,0.21,10.44,-0.01,0.09,0.02,0.12,0.06,0.18,0.03,0.0,D,2021
4363,K. Nanyondo,Sobianitedrucy,DF,Flying Bombadiers,27,1993,0.39,0.06,3.31,0.08,0.05,3.99,-0.08,0.06,,11.68,-0.08,0.01,0.08,0.43,0.29,0.0,-0.33,-0.26,D,2021
4364,K. Othman,Sobianitedrucy,DF,Flying Bombadiers,18,2001,0.37,0.0,0.07,0.08,,0.03,0.04,,,,0.02,-0.07,0.05,0.05,-0.07,,-0.05,0.04,D,2021
4365,M. Namusisi,Sobianitedrucy,DF,Flying Bombadiers,14,2005,0.02,0.03,-0.09,0.07,,-0.04,-0.09,,,,0.08,-0.05,-0.01,0.03,0.09,,-0.05,-0.01,D,2021
4366,R. Arineitwe,Sobianitedrucy,DF,Flying Bombadiers,24,1996,0.24,0.08,-0.04,0.03,,-0.03,-0.05,,,,-0.09,-0.03,-0.03,-0.01,0.0,,0.04,-0.07,D,2021
4367,U. Lomongin,Northern Namemo Laand,DFMF,Flying Bombadiers,32,1987,5.66,0.01,0.02,-0.08,,0.03,-0.07,,,,-0.05,-0.07,-0.06,-0.03,-0.08,,-0.07,0.0,D,2021
4368,G. Abdi,Danan Seekeeling,FW,Flying Bombadiers,29,1991,0.33,0.03,12.47,0.01,0.04,12.21,0.08,0.09,,15.19,0.04,0.07,-0.08,0.46,0.41,0.06,-0.46,-0.52,D,2021
4369,E. Munetsi,Imaar Vircoand,FW,Flying Bombadiers,38,1982,27.83,0.21,1.97,0.82,44.42,1.97,0.84,0.04,0.22,13.43,0.07,0.02,-0.02,0.37,0.2,0.22,-0.19,-0.05,D,2021
4370,B. Bernardi,Sobianitedrucy,FW,Flying Bombadiers,19,2001,0.07,-0.08,0.07,-0.03,,0.07,0.09,,,,-0.03,0.05,-0.03,-0.09,-0.05,,0.09,-0.09,D,2021
4371,O. Acayo,Sobianitedrucy,FW,Flying Bombadiers,16,2004,-0.02,-0.06,0.01,0.04,,0.01,0.04,,,,0.05,-0.04,0.0,0.04,-0.09,,0.05,-0.08,D,2021
4372,O. Mor,Sobianitedrucy,FW,Flying Bombadiers,18,2001,0.46,0.01,-0.01,0.02,,0.02,-0.08,,,,-0.01,0.05,0.0,0.01,0.09,,0.02,0.01,D,2021
4373,M. Ogbonna,Mico,FWDF,Flying Bombadiers,20,1999,13.03,0.2,2.3,0.72,33.34,2.24,0.74,0.12,0.15,18.58,0.11,0.01,0.04,0.18,0.29,0.16,-0.15,-0.13,D,2021
4374,K. Amoding,Northslands,FWMF,Flying Bombadiers,21,1998,32.51,0.19,2.72,1.11,42.16,2.78,1.12,0.13,0.16,19.97,0.15,-0.05,0.02,0.34,0.19,0.17,0.04,-0.07,D,2021
4375,C. Majoni,Sobianitedrucy,FWMF,Flying Bombadiers,28,1991,12.9,0.1,2.48,0.95,41.86,2.33,0.99,0.11,0.08,16.81,0.3,-0.05,-0.1,0.29,0.32,0.11,-0.1,-0.16,D,2021
4376,N. Cheng,Sobianitedrucy,FWMF,Flying Bombadiers,19,2000,13.5,0.02,1.75,0.52,34.75,1.7,0.63,-0.06,0.22,19.52,0.0,0.05,0.02,0.23,0.06,0.13,-0.02,-0.14,D,2021
4377,O. Night,Sobianitedrucy,FWMF,Flying Bombadiers,23,1997,19.5,0.38,2.69,1.01,33.98,2.65,0.97,0.01,0.25,18.19,0.45,0.24,0.14,0.47,0.29,0.17,-0.04,-0.07,D,2021
4378,V. Razak,Lefghau,GK,Flying Bombadiers,36,1983,6.04,-0.01,0.01,-0.03,,0.02,0.09,,,,0.05,-0.07,0.01,-0.06,0.03,,0.05,0.02,D,2021
4379,U. Mvula,Nkasland Cronestan,GK,Flying Bombadiers,29,1991,28.05,-0.01,-0.02,-0.08,,0.0,0.07,,,,0.08,-0.04,-0.06,-0.01,0.08,,-0.04,-0.1,D,2021
4380,D. Chiba,Sobianitedrucy,GK,Flying Bombadiers,20,1999,4.06,-0.03,0.06,-0.02,,-0.08,-0.03,,,,0.08,0.08,-0.03,0.09,-0.06,,0.07,-0.02,D,2021
4381,S. Kor,Byasier Pujan,MF,Flying Bombadiers,23,1997,27.87,0.04,0.32,0.2,44.31,0.26,0.22,0.02,0.25,25.82,-0.02,-0.02,0.1,0.09,0.06,-0.02,-0.03,0.12,D,2021
4382,Z. Angom,Cuandbo,MF,Flying Bombadiers,18,2002,2.47,-0.06,0.87,0.01,0.07,0.88,0.09,0.06,,8.09,0.01,-0.08,-0.01,0.12,-0.01,0.2,-0.14,-0.11,D,2021
4383,O. Bin Abdul Rahman,Imaar Vircoand,MF,Flying Bombadiers,22,1998,13.9,0.09,1.37,0.44,27.8,1.24,0.35,0.02,0.15,18.21,-0.08,-0.07,0.04,0.17,0.15,0.05,-0.09,-0.05,D,2021
4384,Y. Lawan,Nkasland Cronestan,MF,Flying Bombadiers,15,2004,-0.07,0.01,-0.03,-0.08,,-0.02,-0.1,,,,0.0,-0.01,0.03,0.07,-0.06,,0.07,-0.04,D,2021
4385,H. Pichler,Sobianitedrucy,MF,Flying Bombadiers,30,1989,4.21,0.16,0.65,0.48,66.66,0.69,0.43,0.29,0.44,10.43,-0.09,-0.04,-0.03,0.28,0.23,0.23,0.02,0.11,D,2021
4386,I. Mushonga,Sobianitedrucy,MF,Flying Bombadiers,29,1991,36.12,0.34,1.7,0.51,31.11,1.69,0.48,0.2,0.56,17.41,-0.1,0.07,0.04,0.11,0.08,0.18,0.16,0.0,D,2021
4387,X. Zalwango,Sobianitedrucy,MF,Flying Bombadiers,18,2002,0.17,-0.06,0.04,0.02,,-0.1,-0.04,,,,0.03,-0.03,0.04,0.02,-0.08,,0.04,0.08,D,2021
4388,X. Aliru,Xikong,MF,Flying Bombadiers,21,1999,20.53,0.3,2.8,0.77,29.77,2.71,0.77,0.14,0.35,21.22,-0.04,-0.04,-0.03,0.15,0.15,-0.03,0.06,-0.03,D,2021
4389,A. Marchenko,Ingre,DF,Hideous Spartans,26,1993,26.97,0.1,1.1,0.18,25.06,1.11,0.3,0.12,0.5,20.28,0.31,0.0,-0.04,-0.03,0.15,0.1,0.07,0.01,D,2021
4390,A. Radu,Janmico,DF,Hideous Spartans,34,1986,27.93,0.12,0.38,0.07,36.49,0.35,0.12,0.06,0.31,9.23,0.02,-0.02,-0.01,0.06,0.1,0.02,0.04,0.11,D,2021
4391,W. Hamad,Kesternsri,DF,Hideous Spartans,34,1985,8.6,0.06,0.78,0.12,16.61,0.71,0.06,-0.09,0.09,16.91,-0.05,-0.02,-0.08,0.1,0.11,0.15,-0.06,0.05,D,2021
4392,D. Kos,Nkasland Cronestan,DF,Hideous Spartans,20,2000,18.02,-0.09,0.17,0.02,33.38,0.16,0.12,0.08,0.01,6.86,-0.06,-0.03,-0.03,0.07,0.01,0.21,-0.09,0.0,D,2021
4393,E. Ghosh,Sobianitedrucy,DF,Hideous Spartans,30,1989,16.32,-0.08,0.48,0.11,14.37,0.45,0.1,0.1,-0.05,10.06,0.05,0.0,-0.02,0.09,-0.01,0.13,-0.05,0.07,D,2021
4394,E. Németh,Sobianitedrucy,DF,Hideous Spartans,34,1986,2.5,0.02,0.06,0.0,,-0.06,-0.07,,,,-0.01,-0.1,-0.09,-0.01,-0.06,,-0.08,0.08,D,2021
4395,H. Kabugho,Sobianitedrucy,DF,Hideous Spartans,26,1994,11.07,0.18,0.33,0.18,33.25,0.31,0.1,0.39,1.02,6.09,0.02,-0.01,0.01,-0.01,0.08,0.14,-0.02,0.11,D,2021
4396,Q. Krasniqi,Sobianitedrucy,DF,Hideous Spartans,19,2001,12.12,-0.03,0.32,-0.04,-0.05,0.47,0.02,-0.04,,9.61,0.07,-0.09,0.01,0.05,-0.02,0.13,-0.11,-0.02,D,2021
4397,R. Arineitwe,Sobianitedrucy,DF,Hideous Spartans,24,1996,0.17,-0.02,0.06,0.05,,0.0,0.08,,,,-0.06,-0.05,0.01,-0.09,-0.07,,0.08,-0.04,D,2021
4398,T. Moretti,Sobianitedrucy,DF,Hideous Spartans,21,1999,3.24,0.09,0.08,-0.03,,-0.02,0.02,,,,-0.01,-0.02,0.07,-0.01,-0.05,,-0.01,0.07,D,2021
4399,Y. Oppong,Sobianitedrucy,DF,Hideous Spartans,20,1999,26.63,0.0,0.42,0.06,8.28,0.5,0.01,-0.05,-0.08,15.66,0.0,0.09,0.02,0.05,0.13,0.14,0.04,-0.11,D,2021
4400,M. Atuhaire,Nancipenuaroe,DFMF,Hideous Spartans,31,1988,2.41,0.07,0.88,0.48,50.07,0.84,0.5,0.08,-0.09,21.41,-0.06,0.02,0.02,-0.02,0.07,-0.03,0.05,-0.14,D,2021
4401,K. Nanyondo,Sobianitedrucy,DFMF,Hideous Spartans,27,1993,4.1,-0.04,0.74,0.09,0.05,0.77,0.07,-0.02,,16.81,-0.09,0.01,0.04,-0.02,0.03,0.0,0.0,-0.07,D,2021
4402,H. Akot,Deshslands Landdenhai,FW,Hideous Spartans,23,1996,0.1,-0.09,0.09,0.05,,0.08,0.0,,,,-0.05,0.0,-0.07,0.0,0.03,,0.0,-0.08,D,2021
4403,Z. Njoku,Imaar Vircoand,FW,Hideous Spartans,25,1995,19.21,0.24,2.21,0.67,30.25,2.28,0.74,0.09,0.39,13.36,-0.03,-0.03,0.09,0.33,0.4,0.18,-0.05,-0.03,D,2021
4404,L. Nanono,Sobianitedrucy,FW,Hideous Spartans,31,1988,17.62,0.15,2.53,0.54,24.92,2.53,0.6,0.11,0.27,10.13,-0.08,0.04,0.09,0.3,0.37,0.14,-0.2,-0.07,D,2021
4405,R. Aisu,Dosqaly,FWMF,Hideous Spartans,20,2000,0.77,0.09,1.24,-0.05,-0.07,1.22,-0.05,-0.04,,22.53,0.07,-0.03,-0.06,0.2,0.09,0.12,-0.04,-0.09,D,2021
4406,K. Taremwa,Lefghau,FWMF,Hideous Spartans,28,1992,36.15,0.5,2.05,0.75,40.32,1.98,0.73,0.25,0.5,13.86,0.07,0.12,0.15,0.39,0.25,0.15,0.02,0.13,D,2021
4407,W. Kisitu,Sobianitedrucy,FWMF,Hideous Spartans,24,1996,4.07,0.29,3.96,1.56,37.56,3.95,1.43,0.0,0.15,9.93,0.01,0.02,0.06,0.61,0.7,0.19,-0.33,-0.43,D,2021
4408,Q. Martínez,Sobianitedrucy,GK,Hideous Spartans,23,1996,3.97,0.02,0.01,-0.04,,0.04,-0.09,,,,-0.02,-0.07,0.07,-0.04,-0.09,,-0.05,0.05,D,2021
4409,Y. Nanyondo,Sobianitedrucy,GK,Hideous Spartans,26,1994,33.96,0.05,0.01,-0.06,,0.03,-0.06,,,,-0.1,0.08,-0.02,-0.08,0.06,,0.06,-0.05,D,2021
4410,I. Chiu,Cabral Retrea,MF,Hideous Spartans,24,1996,32.94,0.15,0.77,0.28,35.79,0.83,0.26,0.18,0.38,23.02,0.0,-0.05,0.1,0.08,0.01,0.11,-0.04,0.15,D,2021
4411,T. Ray,Janmico,MF,Hideous Spartans,24,1996,4.35,-0.09,-0.05,-0.09,,0.06,-0.1,,,,-0.07,-0.08,0.06,0.03,-0.01,,-0.09,-0.04,D,2021
4412,K. Thompson,Manlisgamncent,MF,Hideous Spartans,25,1995,12.89,-0.03,0.6,0.23,24.99,0.6,0.17,-0.07,-0.05,25.13,-0.03,0.03,0.04,-0.03,-0.02,0.14,0.0,-0.08,D,2021
4413,A. Dekker,Nancipenuaroe,MF,Hideous Spartans,27,1993,11.93,-0.03,0.69,-0.01,0.05,0.6,-0.07,0.1,,24.83,0.04,0.07,0.08,0.1,0.07,-0.03,-0.03,0.07,D,2021
4414,H. Valentini,Sobianitedrucy,MF,Hideous Spartans,24,1995,6.74,-0.09,0.9,0.15,16.79,0.85,0.07,-0.03,-0.02,22.12,-0.07,0.01,-0.07,0.08,0.04,-0.03,0.06,0.07,D,2021
